cod_imovel;date;corrected_date;mean_ndvi
PR-4119905-FAE04B611BAD4A26ABF1C22D5C73D077;20230504;04/05/2023;0.1635735172416214
PR-4119905-5E7AD8A470104B5AA9E7A2E502184356;20220122;08/03/2023;0.1636651871353433
PR-4119905-572FE6F31D2C4843AB0788FBF97D6F2C;20230504;08/03/2023;0.1637583099131601
PR-4119905-B51EB098CDE8428C970EBB12D99B2539;20230504;04/05/2023;0.1640403917627221
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230719;22/01/2022;0.16414835446485507
PR-4119905-08664CB2E39D4D41917D8834FE512025;20230308;08/03/2023;0.164880971542822
PR-4119905-6586B658CF534E0CB8264759EA3518B2;20230308;08/03/2023;0.1651311974601914
PR-4119905-9B31F894DA4E46178009F580C9E7A7AC;20230504;08/03/2023;0.1655224840935033
PR-4119905-9666D81D52FB47EA961D313D09676A70;20230504;09/03/2023;0.1655482694892668
PR-4119905-04F1E82631154702B68F8BF1DB063E4F;20230504;04/05/2023;0.1658728347084541
PR-4119905-D74C82267FDE45D1A050565A6DA5C356;20230504;08/03/2023;0.166260996585318
PR-4119905-1DB39F12039D4EEC9173C568BF917270;20230504;04/05/2023;0.1664434901125757
PR-4119905-BBDFCADE56D048BC869C4F2DD8B2B9E8;20230504;04/05/2023;0.1664516027570024
PR-4119905-D1523E214D60495F899A12113CA055D0;20230504;04/05/2023;0.1666287841234578
PR-4119905-20A9E7E2D28A4FB6BF52FE34B2DF29EB;20230308;08/03/2023;0.1667149512537301
PR-4119905-7F3640A7E74F4AC7BFD50A6E77AC81E3;20230504;04/05/2023;0.1671232797265634
PR-4119905-37653BE3DDE0453B8BD0802495243DBC;20230504;04/05/2023;0.1672983999626083
PR-4119905-5D968F4756E84B06870CF4CEAB462542;20230504;04/05/2023;0.1678021281898868
PR-4119905-BF069BC1B5864495A226F77EA84A4338;20230504;08/03/2023;0.168079508205758
PR-4119905-055898FF3A634A669E4C070FCD5D7073;20230504;04/05/2023;0.1682501276363687
PR-4119905-CDCF62E8B4104E869E55D84A047261CE;20230504;04/05/2023;0.1685015230721417
PR-4119905-CFEA67B798C54A35BD012A76C8A5FD9E;20230308;08/03/2023;0.1695786802213874
PR-4119905-640DE90E8A1042AD96054846F917E5EB;20230504;04/05/2023;0.1696815526879313
PR-4119905-251FC3F42A134E33A6460009ACFD4843;20230504;04/05/2023;0.1699195165079411
PR-4119905-56FC362955E2420CBB245D28B3F9D8A6;20230504;08/03/2023;0.1705634938254666
PR-4119905-39037E1CD2124CEBAF9E8A17375AD089;20230504;04/05/2023;0.1707009594061315
PR-4119905-B8B8AC409398491AB418A2067691CADC;20230504;04/05/2023;0.1710828266181823
PR-4119905-33F700552F594EC5956E44A888C1E5D6;20230504;22/07/2023;0.1713387723127034
RS-4318002-DEF8351102F94EA781B172C252440AF3;20230624;22/01/2022;0.1716348897436211
PR-4119905-05E6383DB484402DB5C082F46D8A9E69;20230504;08/03/2023;0.1718199696997017
PR-4119905-8C054CBF15E0467F892F702EC5FCEFCF;20230308;08/03/2023;0.1718269088994523
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230629;22/01/2022;0.17211675492652856
PR-4119905-84F7D7AD2ABB4C9091AF8480FE6E5CD8;20230504;08/03/2023;0.1721195830544347
PR-4119905-01CA69A1CC5C49B3A82E1A0CB6BE8FAD;20230504;04/05/2023;0.1724233075081226
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230729;17/02/2023;0.17274998313311665
PR-4119905-D2B72BA8734441B48BEF4232A563FFBF;20230308;22/01/2022;0.1731050535532419
PR-4119905-9B157725322E488EA11CAEA36780CFA6;20230504;04/05/2023;0.1731569729259828
PR-4119905-01CA69A1CC5C49B3A82E1A0CB6BE8FAD;20230603;04/05/2023;0.1734102151279722
PR-4119905-EFAADACE0F4D4BCE8D1CEB6B8DEDD17F;20230504;04/05/2023;0.1737042939887492
RS-4318002-4DAC33B8D4464E7BB3DB048F58DD1CC3;20230110;22/01/2022;0.17378798324021683
PR-4119905-AA9382D3C3FE404EBC57A50B16ADEBA4;20230504;04/05/2023;0.1739297713901256
PR-4119905-B36DDF5D1EA748DCB9F4C954C7606E0F;20230504;04/05/2023;0.1742570473593447
PR-4119905-1B7AE77335BD4510A7F8D17F056A9D19;20230504;04/05/2023;0.1745920892415914
PR-4119905-4AE214BEA37C467A925816D72A7E8DD6;20230504;11/03/2023;0.1747593120883398
PR-4119905-A6107BD5F1F447728CE32DB4E79DE580;20230504;04/05/2023;0.1750969072142533
PR-4119905-06C3BB4F12C546A786B7D5FF894AF28A;20230504;04/05/2023;0.1752280750811074
PR-4119905-75B91589A80F4379B1342C6E29E8D540;20230504;04/05/2023;0.1752549319366464
PR-4119905-0EBD2DF22C8942A89FCF07470B9D5EC0;20230504;04/05/2023;0.175513649924951
PR-4119905-A7F090DF342B46298C6EB11394A9F357;20230504;04/05/2023;0.1761842738251952
PR-4119905-1298A49142914A088ECFEB6CA56D9977;20230504;27/07/2023;0.1765854317847705
PR-4119905-B5022C6B40E24AD5BA3FA0F0F9770473;20230504;04/05/2023;0.1766455566676291
PR-4119905-66DB7FAEABC44DCCA980B3E90F967262;20230504;04/05/2023;0.1768227217000109
PR-4119905-765FCD0D0B654AD0B67FA7FE3CB8FB1B;20230504;04/05/2023;0.1770377738046058
